sub_suffix,folder_name,suffix,file_name
/f402,science/astronomi_och_rymdfart,/t3279720,1
/f402,science/astronomi_och_rymdfart,/t2088678,2
/f402,science/astronomi_och_rymdfart,/t3279775,3
/f300,science/biologi/ekologi_natur_djur_och_vaxter,/t3279408,1
/f239,science/biologi/genetik_molekylarbiologi_och_evolutionsbiologi,/t3280084,1
/f239,science/biologi/genetik_molekylarbiologi_och_evolutionsbiologi,/t3280090,2
/f239,science/biologi/genetik_molekylarbiologi_och_evolutionsbiologi,/t3114462,3
/f117,science/biologi/rasforskning,/t3280446,1
/f117,science/biologi/rasforskning,/t3023315,2
/f55,science/filosofi,/t2433574,1
/f55,science/filosofi,/t780398,2
/f55,science/filosofi,/t3268657,3
/f55,science/filosofi,/t3279750,4
/f55,science/filosofi,/t3278446,5
/f54,science/fysik_matematik_och_teknologi/fysik_matematik_och_teknologi_allmant,/t3280410,1
/f54,science/fysik_matematik_och_teknologi/fysik_matematik_och_teknologi_allmant,/t3280083,2
/f54,science/fysik_matematik_och_teknologi/fysik_matematik_och_teknologi_allmant,/t3280364,3
/f54,science/fysik_matematik_och_teknologi/fysik_matematik_och_teknologi_allmant,/t3277452,4
/f54,science/fysik_matematik_och_teknologi/fysik_matematik_och_teknologi_allmant,/t2958592,5
/f273,science/fysik_matematik_och_teknologi/matematiska_och_naturvetenskapliga_uppgifter,/t1293640,1
/f273,science/fysik_matematik_och_teknologi/matematiska_och_naturvetenskapliga_uppgifter,/t3280114,2
/f273,science/fysik_matematik_och_teknologi/matematiska_och_naturvetenskapliga_uppgifter,/t3280115,3
/f95,science/historia,/t2087513,1
/f95,science/historia,/t1952093,2
/f95,science/historia,/t2006278,3
/f95,science/historia,/t3279525,4
/f95,science/historia,/t3280310,5
/f95,science/historia,/t3280404,6
/f95,science/historia,/t3278583,7
/f95,science/historia,/t3276821,8
/f95,science/historia,/t3279435,9
/f108,science/kemi_och_pyroteknik,/t420062,1
/f108,science/kemi_och_pyroteknik,/t2477512,2
/f108,science/kemi_och_pyroteknik,/t3279874,3
/f225,science/klimat_miljo_och_geovetenskap,/t170498,1
/f225,science/klimat_miljo_och_geovetenskap,/t3260378,2
/f225,science/klimat_miljo_och_geovetenskap,/t2355279,3
/f533,science/medicin_och_halsa/coronaviruset_och_covid_19,/t3111908,1
/f533,science/medicin_och_halsa/coronaviruset_och_covid_19,/t3280210,2
/f533,science/medicin_och_halsa/coronaviruset_och_covid_19,/t3128500,3
/f533,science/medicin_och_halsa/coronaviruset_och_covid_19,/t3135896,4
/f533,science/medicin_och_halsa/coronaviruset_och_covid_19,/t3125840,5
/f533,science/medicin_och_halsa/coronaviruset_och_covid_19,/t3279026,6
/f533,science/medicin_och_halsa/coronaviruset_och_covid_19,/t3279542,7
/f533,science/medicin_och_halsa/coronaviruset_och_covid_19,/t3280289,8
/f533,science/medicin_och_halsa/coronaviruset_och_covid_19,/t3136166,9
/f533,science/medicin_och_halsa/coronaviruset_och_covid_19,/t3259442,10
/f533,science/medicin_och_halsa/coronaviruset_och_covid_19,/t3280234,11
/f533,science/medicin_och_halsa/coronaviruset_och_covid_19,/t3131482,12
/f533,science/medicin_och_halsa/coronaviruset_och_covid_19,/t3279809,13
/f377,science/medicin_och_halsa/alternativ_medicin,/t3279719,1
/f359,science/medicin_och_halsa/psykiatri_och_psykofarmaka,/t3280458,1
/f359,science/medicin_och_halsa/psykiatri_och_psykofarmaka,/t3280427,2
/f359,science/medicin_och_halsa/psykiatri_och_psykofarmaka,/t2892564,3
/f359,science/medicin_och_halsa/psykiatri_och_psykofarmaka,/t1086917,4
/f359,science/medicin_och_halsa/psykiatri_och_psykofarmaka,/t598915,5
/f359,science/medicin_och_halsa/psykiatri_och_psykofarmaka,/t3280031,6
/f359,science/medicin_och_halsa/psykiatri_och_psykofarmaka,/t740930,7
/f359,science/medicin_och_halsa/psykiatri_och_psykofarmaka,/t3278442,8
/f359,science/medicin_och_halsa/psykiatri_och_psykofarmaka,/t3111055,9
/f359,science/medicin_och_halsa/psykiatri_och_psykofarmaka,/t3279535,10
/f359,science/medicin_och_halsa/psykiatri_och_psykofarmaka,/t2456761,11
/f359,science/medicin_och_halsa/psykiatri_och_psykofarmaka,/t3053559,12
/f365,science/paranormala_fenomen_ockultism_och_ufologi/ufologi,/t3278644,1
/f365,science/paranormala_fenomen_ockultism_och_ufologi/ufologi,/t3257216,2
/f80,science/psykologi/psykologi_allmant,/t3280170,1
/f80,science/psykologi/psykologi_allmant,/t3270771,2
/f80,science/psykologi/psykologi_allmant,/t3278750,3
/f80,science/psykologi/psykologi_allmant,/t3279988,4
/f80,science/psykologi/psykologi_allmant,/t3279996,5
/f196,science/psykologi/psykisk_halsa,/t3042886,1
/f196,science/psykologi/psykisk_halsa,/t3280356,2
/f196,science/psykologi/psykisk_halsa,/t3280398,3
/f196,science/psykologi/psykisk_halsa,/t3280000,4
/f196,science/psykologi/psykisk_halsa,/t3279276,5
/f196,science/psykologi/psykisk_halsa,/t3280274,6
/f196,science/psykologi/psykisk_halsa,/t1021313,7
/f196,science/psykologi/psykisk_halsa,/t3280288,8
/f196,science/psykologi/psykisk_halsa,/t3279927,9
/f196,science/psykologi/psykisk_halsa,/t3279507,10
/f196,science/psykologi/psykisk_halsa,/t3270828,11
/f196,science/psykologi/psykisk_halsa,/t3280045,12
/f196,science/psykologi/psykisk_halsa,/t3279873,13
/f196,science/psykologi/psykisk_halsa,/t3279989,14
/f236,science/psykologi/somn_och_drommar,/t3280349,1
/f236,science/psykologi/somn_och_drommar,/t3073125,2
/f27,science/religion,/t2263256,1
/f27,science/religion,/t3280456,2
/f27,science/religion,/t3279123,3
/f27,science/religion,/t2054456,4
/f27,science/religion,/t3276990,5
/f27,science/religion,/t3278120,6
/f27,science/religion,/t3276306,7
/f27,science/religion,/t3278061,8
/f27,science/religion,/t1557055,9
/f27,science/religion,/t2247155,10
/f27,science/religion,/t3275710,11
/f240,science/socialantropologi_etnologi_och_sociologi,/t3279741,1
/f240,science/socialantropologi_etnologi_och_sociologi,/t3280012,2
/f88,science/sprak,/t3280444,1
/f88,science/sprak,/t521216,2
/f88,science/sprak,/t515243,3
/f88,science/sprak,/t804510,4
/f88,science/sprak,/t3280429,5
/f88,science/sprak,/t3280397,6
/f88,science/sprak,/t3265430,7
/f88,science/sprak,/t3279596,8
/f88,science/sprak,/t3268163,9
/f88,science/sprak,/t3276617,10
/f88,science/sprak,/t214370,11
/f88,science/sprak,/t3149162,12
/f88,science/sprak,/t3279693,13
/f88,science/sprak,/t3279891,14
/f299,science/biologi/data,NA,1
/f503,science/fysik_matematik_och_teknologi/data,NA,1
/f97,science/medicin_och_halsa/data,/t3280119,1
/f97,science/medicin_och_halsa/data,/t3279795,2
/f97,science/medicin_och_halsa/data,/t1701737,3
/f97,science/medicin_och_halsa/data,/t557180,4
/f97,science/medicin_och_halsa/data,/t3280313,5
/f97,science/medicin_och_halsa/data,/t3276905,6
/f97,science/medicin_och_halsa/data,/t3280396,7
/f97,science/medicin_och_halsa/data,/t3280387,8
/f97,science/medicin_och_halsa/data,/t3272938,9
/f97,science/medicin_och_halsa/data,/t3118812,10
/f97,science/medicin_och_halsa/data,/t3280071,11
/f97,science/medicin_och_halsa/data,/t3280344,12
/f97,science/medicin_och_halsa/data,/t236343,13
/f97,science/medicin_och_halsa/data,/t3280306,14
/f97,science/medicin_och_halsa/data,/t3272260,15
/f97,science/medicin_och_halsa/data,/t3279383,16
/f97,science/medicin_och_halsa/data,/t3279979,17
/f97,science/medicin_och_halsa/data,/t3279125,18
/f148,science/paranormala_fenomen_ockultism_och_ufologi/data,/t2782924,1
/f148,science/paranormala_fenomen_ockultism_och_ufologi/data,/t3277418,2
/f148,science/paranormala_fenomen_ockultism_och_ufologi/data,/t3128628,3
/f455,science/psykologi/data,NA,1
